dp,sb,sc,sd,se
0,0.6123484067899198,0,0,0
0,8.199901847101914,0,0,0
0,13.471664945169731,0,0,0
0,16.767212735612397,0,0,0
0,17.301625897318935,0,0,0
0.5,0.03340082218580828,0,0,0
1.3333333333333333,0.3228746144728336,0,0,0
1.4999999999999998,0.5288463513504497,0,0,0
1.833333333333333,0.5455467623782222,0,0,0
2.3333333333333335,4.1027343251217125,0,0,0
0,0,1.0930076900706378,0,0
0,0,2.309171176373394,0,0
0,0,2.324565651006322,0,0
0,0,5.449643977382864,0,0
0,0,5.58819424797081,0,0
1,0,0.046183423538551906,0,0
0.3333333333333333,0,0.8466960981606014,0,0
1.1666666666666667,0,0.30788949016464584,0,0
0.5,0,1.9089148392424848,0,0
0.16666666666666666,0,2.8325833091822212,0,0
0,0,0,0.23231911467763494,0
0,0,0,0.3624178188087921,0
0,0,0,1.0017600224053902,0
0,0,0,1.2141816884630727,0
0,0,0,2.045470239437041,0
0,0,0,3.9559298849839477,0
0.6666666666666666,0,0,0.5073849465999405,0
0.3333333333333333,0,0,0.8419244717571454,0
0.3333333333333333,0,0,1.0556580573114196,0
0.8333333333333333,0,0,0.9725541909449399,0
0.03333333333333333,0,0,2.6818918601217723,0
0,0.27834018493183693,1.246952435291511,0.7973192015131585,0
0,0.4620447069387521,1.8165479922762213,0.44419414736640855,0
0,0.534413154992973,1.8473369412649758,1.1225659623428605,0
0,3.373483041437993,3.1712617477814207,0.9500922514464618,0
1.1666666666666667,0.005566803698636738,0.12315579606585834,0.0018585529176887111,0
1,0.022267214790538857,0.5234121333630282,0.0037171058347083437,0
0.6666666666666666,0.13360328872319263,0.954457419482692,0.005575658753735213,0
1,0.02783401849318369,0.8005126745389195,0.005575658753735213,0
0,0,0,0,0.786216678966667
0,0,0,0,0.9904288033425638
0,0,0,0,1.715381844867808
0,0,0,0,2.144227306773976
0,0,0,0,4.940732162384106
0,0,0,0,5.3168085247238395
0,0,0,0,5.354441901058824
0,0,0,0,5.669242746447749
0.03333333333333333,0,0,0,0.6534787981499027
0.8333333333333333,0,0,0,0.03063181866557407
0.8333333333333333,0,0,0,0.490109098612427
1.4999999999999998,0,0,0,0.04084242487517937
1.4999999999999998,0,0,0,1.0516924406001955
1,0,0.046183423538551906,0,0.03063181866557407
1,0,0.07697237255501649,0,0.020421212437589684
1.3333333333333333,0,0.3848618627750825,0,0.1429484870815069
0,0.2616397738038619,0.5695955569847101,0,1.8583303318022821
0,0.1002024665674451,0.7851181999059919,0,3.3388682344924363
0,0.09463566286480025,1.0776132157148108,0,3.5226591464491226
0,0.25050616641861273,1.062218741081883,0,3.492027327177039
1,0.02783401849318369,0.15394474511003298,0,0.03063181866557407
1.1666666666666667,0.02783401849318369,0.261706066653804,0,0.051053031103163754
1,0.016700411097914265,0.6311734549622193,0,0.061263637312769056
1.6666666666666665,0.016700411097914265,0.09236684704939375,0,0.03063181866557407
1.6666666666666665,0.005566803698636738,0.3540729137863279,0,0.04084242487517937
0,0.19483812939216438,0,0.09292764588443557,1.3988530520943574
0,0.12246968133794346,0,0.057615140436306625,3.532869751647878
0,1.1189275436704784,0,0.12638159840015606,3.5430803586845427
0,0.6012147994046706,0,0.15240133925315064,5.830256151106457
1.4999999999999998,0.05566803698636738,0,0.02230263501159546,0.020421212437589684
1.4999999999999998,0.0723684480742614,0,0.0130098704231519,0.1429484870815069
2.1666666666666665,0.011133607395269429,0,0.04274671711085483,0.061263637312769056
2.3333333333333335,0.044534429581077714,0,0.02230263501159546,0.020421212437589684
0,0,0.415650811763837,0.0018585529176887111,0.051053031103163754
0,0,0.18473369412649757,0.0037171058347083437,0.31652879277345053
0,0,0.6003845059734648,0.018585529176887113,0.786216678966667
0,0,0.831301623527674,0.04274671711085483,3.726871270641229
0,0,0.954457419482692,0.10779606920988735,5.003197047301368
0.6666666666666666,0,0.16933921960441023,0.005575658753735213,0.020421212437589684
1.1666666666666667,0,0.43104528639676454,0.0018585529176887111,0.11231666841593281
1.833333333333333,0,0.2309171176373394,0.0018585529176887111,0.01021060622063275
0,0.189271325749641,0.7389347765614104,0.057615140436306625,1.6336969951909657
0,0.1614373072364168,0.46183423538551904,0.03531250544812894,2.123806094538556
0,0.2616397738038619,0.3540729137863279,0.15983555091587653,2.501598523650684
0,0.2672065775465878,0.3848618627750825,0.08363488128930122,2.9508651983436445
0,0.11133607395269426,0.6157789803292917,0.08177632835689277,3.7677136951120684
0,0.21153854052013937,1.1237966393364929,0.09292764588443557,4.778563710873843
1,0.05010123328372255,0.30788949016464584,0.0018585529176887111,0.04084242487517937
1.4999999999999998,0.03340082218580828,0.27710054117589134,0.0018585529176887111,0.051053031103163754
2.1666666666666665,0.02783401849318369,0.3694673881421549,0.0018585529176887111,0.020421212437589684
